Woodland Dream						Albedo
Ideal Circumstance					Alhaitham
Satiety Gel						Aloy
Outrider's Champion Steak!				Amber
Way of the Strong Way of the Strong			Arataki Itto
Hearthfire's Trail					Arlecchino
Heat-Quelling Soup					Baizhu
Spicy Stew						Barbara
Flash-Fried Filet 					Beidou
Teyvat Charred Egg 					Bennett
Utmost Care 						Candace
Exclusive Scoop: Gourmet Column 			Charlotte
Moment of Respite Moment of Respite			Chasca
Sin: The Kind that Doesn't Need to be Dealt With 	Chevreuse
Fashion Show						Chiori
Cold Noodles with Mountain Delicacies 			Chongyun
Secret Art 						Citlali
Tagged and Bagged 					Clorinde
Yearning Yearning					Collei
Duel Soul Duel Soul					Cyno
Goldflame Tajine Goldflame Tajine			Dehya
Once Upon a Time in Mondstadt				Diluc
Definitely Not Bar Food! Definitely Not Bar Food!	Diona
Show Me the Mora Show Me the Mora			Dori
A Fragrant Feast of Flavors				Emilie
Stormcrest Pie Stormcrest Pie				Eula
Traditionally-Made Charcoal-Baked Ajilenakh Cake 	Faruzan
Die Heilige Sinfonie Die Heilige Sinfonie		Fischl
Seabird's Sojourn					Freminet
Pour la Justice						Furina
Yummy Yum Cha Yummy Yum Cha				Gaming
Prosperous Peace Prosperous Peace			Ganyu
Victorious Legend 					Gorou
Ghostly March 						Hu Tao
Invigorating Pizza 					Jean
Impeccably Organized					Kachina
All-Weather Beauty 					Kaedehara Kazuha
Fruity Skewers 						Kaeya
Snow on the Hearth					Kamisato Ayaka
Quiet Elegance 						Kamisato Ayato
The Endeavor 						Kaveh
Survival Grilled Fish 					Keqing
Saurian Hunter's Reward 				Kinich
Energizing Bento 					Kirara
Fish-Flavored Toast 					Klee
Faith Eternal 						Kujou Sara
Omurice Waltz 						Kuki Shinobu
Extravagant Slumber 					Layla
Mysterious Bolognese 					Lisa
A Leisurely Sip 					Lynette
Cubic Tricks 						Lyney
Hymn of Gathered Flame 					Mavuika
Surveyor's Breakfast Sandwich 				Mika
Der Weisheit Letzter Schluss (Life) 			Mona
Pass the Luck 						Mualani
Halvamazd Halvamazd					Nahida
Pick What You Like!					Navia
Consomme Purete						Neuvillette
Swirling Steps 						Nilou
Qiankun Mora Meat 					Ningguang
Lighter-Than-Air Pancake 				Noelle
Honey-Glazed Ceviche 					Ororon
No Tomorrow 						Qiqi
Puppy-Paw Hash Brown 					Razor
Dinner of Judgment 					Rosaria
A Stunning Stratagem 					Sangonomiya Kokomi
Dizziness-Be-Gone no Jutsu Version 2 			Sayu
Super-Dee-Duper Delicious Meat Roll 			Sethos
Heartstring Noodles 					Shenhe
The Only Truth 						Shikanoin Heizou
Well-Balanced Meal W					Sigewinne
Nutritious Meal (V.593)					Sucrose
A Prize Catch 						Tartaglia
Warmth							Thoma
Forest Watcher's Choice 				Tighnari
A Buoyant Breeze 					Venti
Shimi Chazuke 						Wanderer
Secret Sauce BBQ Ribs 					Wriothesley
Wanmin Restaurant's Boiled Fish 			Xiangling
Encompassing Gladness 					Xianyun
Sweet Dream						Xiao
Fruit-Flavored Milk Candies 				Xilonen
All-Delicacy Parcels 					Xingqiu
Rockin' Riffin' Chicken! 				Xinyan
Fukuuchi Udon 						Yae Miko
My Way							Yanfei
Qingce Household Dish 					Yaoyao
Dew-Dipped Shrimp 					Yelan
Summer Festival Fish 					Yoimiya
Cloud-Shrouded Jade 					Yun Jin
Slow-Cooked Bamboo Shoot Soup 				Zhongli
